,price,area,locality,bedroom_num,bathroom_num,balcony_num
0,66.0,757,Kalyan,2,2,0
1,61.7,652,Kalyan,2,2,0
2,46.0,396,Dombivali,1,1,0
3,519.8,1130,Ville Parle,3,3,0
4,39.15,435,Nala Sopara,1,1,0
5,49.0,720,Ulwe,1,1,0
6,140.0,652,Jogeshwari,2,2,0
7,164.0,565,Chembur,2,2,0
8,749.98,1770,Nerul,3,3,0
9,659.0,2600,Mulund,4,5,0
10,30.0,590,other,1,1,0
11,190.0,1685,Ulwe,3,3,0
12,43.5,484,Kalyan,1,1,0
13,75.64,801,Kalyan,2,2,0
14,48.0,412,Dombivali,1,1,0
15,410.08,891,Ville Parle,3,3,0
16,35.1,390,Nala Sopara,1,1,0
17,76.0,1095,Ulwe,2,2,0
18,99.0,463,Jogeshwari,1,1,0
19,120.01,415,Chembur,1,1,0
20,28.0,484,Dombivli,1,1,0
21,28.0,480,Taloje,1,1,0
22,30.0,636,Panvel,1,1,0
23,45.0,750,Shil Phata,1,1,0
24,40.0,550,Dombivali,2,2,0
25,17.0,575,other,1,1,0
26,62.0,685,Taloje,1,1,0
27,48.0,594,Kalyan,1,1,0
28,55.0,350,Kharghar,1,1,0
29,45.0,700,Taloje,1,1,0
30,28.0,484,Dombivli,1,1,0
31,23.0,500,Nalasopara,1,1,0
32,18.0,550,Shil Phata,1,1,0
33,32.0,438,Dombivali,1,1,0
34,23.0,500,Nalasopara,1,1,0
35,18.0,550,Shil Phata,1,1,0
36,25.0,400,Badlapur,1,1,0
37,22.0,550,Mumbra,1,1,0
38,26.0,535,Vasai,1,1,0
39,30.0,699,Ambernath,1,1,0
40,165.0,750,Powai,1,2,0
41,332.0,1104,Powai,3,2,0
42,110.0,1000,Koper Khairane,2,2,0
43,144.0,1625,Kalamboli,3,3,0
44,115.0,1330,Kalamboli,2,2,0
45,108.0,1139,Kalamboli,2,2,0
46,360.0,1050,Andheri,3,3,0
47,55.0,540,Goregaon,1,1,0
48,95.0,600,Borivali,1,1,0
49,26.0,415,Dombivli,1,1,0
50,32.0,412,Andheri,1,1,0
51,33.0,420,Dombivli,1,1,0
52,38.0,557,Dombivli,1,1,0
53,39.0,585,Dombivli,1,1,0
54,52.0,559,Kasaradavali Thane,1,1,0
55,1000.0,1600,Vile Parle,4,4,0
56,75.0,410,Kandivali,1,1,0
57,57.9,682,Kasaradavali Thane,1,2,0
58,90.9,951,Kasaradavali Thane,2,2,0
59,53.0,642,Kasaradavali Thane,1,2,0
60,230.0,945,Kandivali,2,2,0
61,87.0,1124,Kalyan,2,2,0
62,68.0,655,Mira Road,1,2,0
63,550.0,1800,Andheri,3,3,0
64,92.0,1100,Ulwe,2,2,0
65,85.0,900,Kalyan,2,2,0
66,102.0,1062,Mira Road,2,2,0
67,71.0,985,Kalyan,2,2,0
68,280.0,846,Malad,2,3,0
69,189.0,800,Mulund,2,2,0
70,260.0,1020,Prabhadevi,2,2,0
71,650.0,1500,Dadar,3,3,0
72,75.0,200,Lower Parel,1,1,0
73,85.0,1000,Taloja,2,2,0
74,99.0,1000,Kharghar,2,2,0
75,100.0,750,Panvel,2,2,0
76,50.0,780,Panvel,1,1,0
77,35.0,658,Taloja,1,1,0
78,54.0,780,Panvel,1,1,0
79,185.0,1000,Chembur,2,2,0
80,176.0,950,Kandivali,2,2,0
81,35.0,700,Koper Khairane,1,1,0
82,265.0,950,Kandivali,2,2,0
83,165.0,850,Kandivali,2,2,0
84,165.0,850,Kandivali,2,2,0
85,35.99,700,Ambernath,1,2,0
86,27.48,700,Ambernath,1,2,0
87,64.0,670,Kharghar,1,1,0
88,115.0,1100,Kharghar,2,2,0
89,115.0,1100,Kharghar,2,2,0
90,130.0,1125,Kharghar,2,2,0
91,100.0,1100,Kharghar,2,2,0
92,119.0,1180,Panvel,2,2,0
93,370.0,1010,Wadala,3,3,0
94,79.0,1105,Panvel,2,2,0
95,39.0,680,Taloje,1,1,0
96,45.0,750,Virar,1,2,0
97,107.0,850,Thane,2,2,0
98,124.0,950,Thane,2,2,0
99,265.0,1650,Thane,4,3,0
100,68.0,600,Bhandup,1,2,0
101,69.0,600,Bhandup,1,2,0
102,76.0,800,Bhandup,1,2,0
103,78.0,800,Bhandup,2,2,0
104,80.0,800,Bhandup,2,2,0
105,160.0,1100,Mulund,2,2,0
106,100.0,680,Mulund,1,2,0
107,150.0,1000,Nahur,2,2,0
108,95.0,650,Nahur,1,2,0
109,90.0,650,Kandivali,1,2,0
110,110.0,715,Kandivali,1,1,0
111,70.0,750,Mira Road,1,2,0
112,295.0,1150,Borivali,2,2,0
113,73.0,850,Mira Road,2,2,0
114,42.0,490,Kharghar,1,1,0
115,36.0,657,Kharghar,1,2,0
116,176.0,950,Kandivali,2,2,0
117,35.0,700,Koper Khairane,1,1,0
118,265.0,950,Kandivali,2,2,0
119,165.0,850,Kandivali,2,2,0
120,165.0,850,Kandivali,2,2,0
121,35.99,700,Ambernath,1,2,0
122,27.48,700,Ambernath,1,2,0
123,64.0,670,Kharghar,1,1,0
124,115.0,1100,Kharghar,2,2,0
125,115.0,1100,Kharghar,2,2,0
126,130.0,1125,Kharghar,2,2,0
127,100.0,1100,Kharghar,2,2,0
128,119.0,1180,Panvel,2,2,0
129,370.0,1010,Wadala,3,3,0
130,79.0,1105,Panvel,2,2,0
131,39.0,680,Taloje,1,1,0
132,45.0,750,Virar,1,2,0
133,107.0,850,Thane,2,2,0
134,124.0,950,Thane,2,2,0
135,265.0,1650,Thane,4,3,0
136,41.0,650,Panvel,1,2,0
137,73.0,750,Mira Road,1,2,0
138,63.0,1050,Panvel,2,2,0
139,135.0,1125,Kharghar,2,2,0
140,110.0,980,Thane,2,2,0
141,85.0,1100,Khar,2,2,0
142,105.0,1150,Kharghar,2,2,0
143,125.0,1125,Kharghar,2,2,0
144,130.0,1250,Kharghar,2,2,0
145,130.0,1250,Kharghar,2,2,0
146,183.0,1310,Kharghar,2,2,0
147,90.0,600,Thane,1,2,0
148,140.0,1250,Kharghar,2,2,0
149,140.0,1250,Kharghar,2,2,0
150,45.0,520,Thane,1,2,0
151,145.0,1200,Kharghar,2,2,0
152,175.0,1650,Kharghar,3,3,0
153,175.0,1650,Kharghar,3,3,0
154,105.0,1100,Panvel,2,2,0
155,95.0,1025,Kharghar,2,2,0
156,105.0,1100,Panvel,2,2,0
157,110.0,1050,Kharghar,2,2,0
158,75.0,700,Kharghar,1,1,0
159,59.0,658,Kharghar,1,1,0
160,99.0,1120,Kharghar,2,2,0
161,140.0,1125,Kharghar,2,2,0
162,110.0,1000,Kharghar,2,2,0
